indicator_code,current_name,name_as_in_source,definitive_name,frequency,unit_as_in_source,indicator_source_name,region_name,indicator_type,functionality,,
ID00392609,126 large mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),126 large mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),Domestic Concentrates: Inventory of 126 large-sized mining enterprises: China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392618,126 medium-sized mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),126 medium-sized mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),Domestic Concentrates: Inventory of 126 medium-sized mining enterprises: China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392614,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Central China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Central China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): Central China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392612,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:East China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:East China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): East China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392611,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:North China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:North China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): North China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392610,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Northeast China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Northeast China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): Northeast China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392615,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Northwest China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Northwest China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): Northwest China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392613,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:South China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:South China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): South China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392616,126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Southwest China(Weekly),126 Mining Enterprises (266 Mines):Iron ore concentrates:Inventory:Southwest China(Weekly),Domestic Concentrates: Inventory of 126 Mining Enterprises (266 Mines): Southwest China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00392617,126 small mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),126 small mining enterprises:Iron Ore Concentrates:Inventory:China(Weekly),Domestic Concentrates: Inventory of 126 small mining enterprises: China,weekly,10KT,Mysteel,China,Iron Ore;Concentrates,"Stocks, Mines",,
ID00183109,247 Steel Mills:Blast furnaceOperating Rate:China(Weekly),247 Steel Mills:Blast furnaceOperating Rate:China(Weekly),Blast furnace Operating Rate: 247 Steel Mills: China,weekly,%,Mysteel,China,Steel; BOF; Metallics; Pig Iron,Production;Mills,,
ID00183126,247 Steel Mills:Profitability:China(Weekly),247 Steel Mills:Profitability:China(Weekly),Profitability: 247 Steel Mills: China,weekly,%,Mysteel,China,Steel,Margins;Mills,,
FE04F004 Index,AR 0.01% P ViM < 0.08%,, Iron Ore ViM per 0.01% P <0.08%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F003 Index,AR 0.01% P ViM > 0.10%,, Iron Ore ViM per 0.01% P >0.1%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F008 Index,AR 0.01% P ViM 0.08-0.10%,, Iron Ore ViM per 0.01% P 0.08-0.1%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F002 Index,AR 1% Al2O3 ViM 1.0-2.25%,, Iron Ore ViM per 1% Al2O3 1-2.25%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F060 Index,AR 1% Al2O3 ViM 2.25-3.0%,, Iron Ore ViM per 1% Al2O3 2.25-3%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F001 Index,AR 1% Fe ViM 60-63.5%,, Iron Ore ViM per 1% Fe 60-63.5%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F009 Index,AR 1% Fe ViM 63.5-65%,, Iron Ore ViM per 1% Fe 63.5-65%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F005 Index,AR 1% SiO2 ViM < 4.5%,, Iron Ore ViM per 1% SiO2 <4.5%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
FE04F007 Index,AR 1% SiO2 ViM > 6.0%,, Iron Ore ViM per 1% SiO2 >6%,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Differentials;Seaborne,,
