indicator_name,indicator_feature_combined
1/3 coking coal price index,"1/3 coking coal price index_daily_daily_China_Mysteel_Coal, Coking Coal"
186 mining enterprises (363 mines):Iron ore concentrates: Avg daily production,"186 mining enterprises (363 mines):Iron ore concentrates: Avg daily production_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
3B Shredded Scrap UK Dom Prod Dlvd Mill Wkly,"3B Shredded Scrap UK Dom Prod Dlvd Mill Wkly_weekly_weekly_Europe_Platts_Scrap, Metallics"
4A New Steel Bales UK Dom Prod Dlvd Mill Wkly,"4A New Steel Bales UK Dom Prod Dlvd Mill Wkly_weekly_weekly_Europe_Platts_Metallics, Scrap"
57% Fe Yandi Fines CFR Qingdao $/DMT,"57% Fe Yandi Fines CFR Qingdao $/DMT_daily_daily_Australia_Platts_Iron Ore, Sinter Fines"
57% Fe Yandi Fines CFR Qingdao (Floating) $/DMT,"57% Fe Yandi Fines CFR Qingdao (Floating) $/DMT_daily_daily_Australia_Platts_Iron Ore, Sinter Fines"
57% Fe Yandi Fines CFR Qingdao Brand Differential $/DMT,"57% Fe Yandi Fines CFR Qingdao Brand Differential $/DMT_daily_daily_Australia_Platts_Iron Ore, Sinter Fines"
Air quality Beijing,Air quality Beijing_daily_daily_China_Mysteel_Macroeconomic
Air quality Shanghai,Air quality Shanghai_daily_daily_China_Mysteel_Macroeconomic
Air quality Tangshan,Air quality Tangshan_daily_daily_China_Mysteel_Macroeconomic
Anfavea Brazil Vehicle Production,Anfavea Brazil Vehicle Production_monthly_monthly_South America_Bloomberg_Macroeconomic
Anfavea Brazil Vehicle Production Trucks,Anfavea Brazil Vehicle Production Trucks_monthly_monthly_South America_Bloomberg_Macroeconomic
Anfavea Brazil Vehicle Sales Licensed,Anfavea Brazil Vehicle Sales Licensed_monthly_monthly_South America_Bloomberg_Macroeconomic
Atlas Fines: 57%Fe: Brand Price: Jiangyin port,"Atlas Fines: 57%Fe: Brand Price: Jiangyin port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Atlas Fines: 57%Fe: Brand Price: Nantong port,"Atlas Fines: 57%Fe: Brand Price: Nantong port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Atlas Fines: 57%Fe: Brand Price: Qingdao port,"Atlas Fines: 57%Fe: Brand Price: Qingdao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian IO Imports in China@14 Ports Total,Australian IO Imports in China@14 Ports Total_weekly_weekly_China_Mysteel_Iron Ore
Australian fines: 58%Fe: Seaborne Spot Price Index: Qingdao port,"Australian fines: 58%Fe: Seaborne Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 58%Fe: Spot Price Index: Caofeidian port,"Australian fines: 58%Fe: Spot Price Index: Caofeidian port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 58%Fe: Spot Price Index: Fangchenggang port,"Australian fines: 58%Fe: Spot Price Index: Fangchenggang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian fines: 58%Fe: Spot Price Index: Jingtang port,"Australian fines: 58%Fe: Spot Price Index: Jingtang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian fines: 58%Fe: Spot Price Index: Lianyungang port,"Australian fines: 58%Fe: Spot Price Index: Lianyungang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 58%Fe: Spot Price Index: Qingdao port,"Australian fines: 58%Fe: Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 58%Fe: Spot Price Index: Rizhao port,"Australian fines: 58%Fe: Spot Price Index: Rizhao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian fines: 58%Fe: Spot Price Index: Tianjin port,"Australian fines: 58%Fe: Spot Price Index: Tianjin port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Seaborne Spot Price Index: Qingdao port,"Australian fines: 62%Fe: Seaborne Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Spot Price Index: Caofeidian port,"Australian fines: 62%Fe: Spot Price Index: Caofeidian port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Spot Price Index: Fangchenggang port,"Australian fines: 62%Fe: Spot Price Index: Fangchenggang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Spot Price Index: Lianyungang port,"Australian fines: 62%Fe: Spot Price Index: Lianyungang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Spot Price Index: Qingdao port,"Australian fines: 62%Fe: Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Australian fines: 62%Fe: Spot Price Index: Rizhao port,"Australian fines: 62%Fe: Spot Price Index: Rizhao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian fines: 62%Fe: Spot Price Index: Tianjin port,"Australian fines: 62%Fe: Spot Price Index: Tianjin port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Australian fines: 62%Fe: Spot Price Index: port,"Australian fines: 62%Fe: Spot Price Index: port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Avg daily production of 126 Large Mining Enterprises: China,"Avg daily production of 126 Large Mining Enterprises: China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Medium-sized Mining Enterprises: China,"Avg daily production of 126 Medium-sized Mining Enterprises: China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Avg daily production of 126 Mining Enterprises (266 Mines): China,"Avg daily production of 126 Mining Enterprises (266 Mines): China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Avg daily production of 126 Mining Enterprises (266 Mines): East China,"Avg daily production of 126 Mining Enterprises (266 Mines): East China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines): North China,"Avg daily production of 126 Mining Enterprises (266 Mines): North China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines): Northeast China,"Avg daily production of 126 Mining Enterprises (266 Mines): Northeast China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines): Northwest China,"Avg daily production of 126 Mining Enterprises (266 Mines): Northwest China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Avg daily production of 126 Mining Enterprises (266 Mines): South China,"Avg daily production of 126 Mining Enterprises (266 Mines): South China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines): Southwest China,"Avg daily production of 126 Mining Enterprises (266 Mines): Southwest China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
